,id_group,group,q_format,a_format,tag0,tag1,tag2,tag3
509,14,D2 , Who researches [research area]? , [teachers] Êresearches [research area].,[research area],,,
510,15,D2 , How many research areas does [teacher] have? , [teacher] has [num research areas].,[teacher],,,
511,16,D2 , Did [teacher] submit a funding proposal in [year]? ," [yes/no], [teacher] [did/didnÕt] submit a funding proposal in [year].",[teacher],[year],,
512,17,D2 , How much did [teacher]Õs funding proposals accumulate to in [year]? , [teacher]Õs funding proposals accumulated to [total accumulated] in [year].,[teacher],[year],,
513,18,D2 , How much research funding was [teacher] awarded in [year]? , [teacher]Õs funding proposals accumulated to [total accumulated] in [year].,[teacher],[year],,
514,19,D2 , How much research funding was awarded to the CS Department in [year]? , The CS department was awarded [total accumulated] in [year].,[year],,,
515,20,D2 , What are the titles of [teacher]Õs funding proposals in [year]? , [teacher] worked on [research titles] in [year].,[teacher],[year],,
516,21,D2 , What are the titles of [teacher]Õs funding proposals in [quarter and year]? , [teacher] requested funding under the following titles: [research titles].,[teacher],[quarter and year],,
517,22,D2 , How many research databases does the CS department have access to? , The CS department has access to [number of databases].,,,,
518,23,D2 , How much in research grants did Computer science obtain in [year]? , The CS department was awarded [total accumulated] in [year].,[year],,,
519,24,D2 , What percentage of total Engineering research grants did Computer science obtain in [year]? , Computer Science obtained [percent]% of all research grants in [year].,[year],,,
520,25,D2 , How many research grants were awarded to CS in [year]? , CS was awarded [num grants] in [year],[year],,,
521,26,D2 , How many research grants were awarded to CS in [quarter and year]? , [num] research grants were awarded to CS in [quarter and year].,[quarter and year],,,
522,27,D2 , Which sponsors funded research grants in [year]? , These sponsors funded research grants in [year]: [sponsors].,[year],,,
523,28,D2 , Did [sponsor] fund any research in [year]? ," [yes/no], [sponsor] [did/didnÕt] fund any research in [year].",[sponsor],[year],,
524,29,D2 , Was [teacher] awarded a grant in [year]? ," [yes/no], [teacher] [was/wasnÕt] awarded a grant in [year].",[teacher],[year],,
525,30,D2 , Which professors were awarded at least one grant in [year]? , These professors were awarded at least one grant in [year]: [teachers].,[year],,,
526,31,D2 , Which professors were awarded multiple grants in [year]? , These professors were awarded at least multiple grants in [year]: [teachers].,[year],,,
527,32,D2 , How many research projects did [sponsor] fund in [year]? , [Sponsor] funded [num] research projects in [year].,[sponsor],[year],,
528,33,D2 , How much money did [sponsor] award in [year]? , [sponsor] awarded [num] in research awards in [year].,[sponsor],[year],,
529,34,D2 , What are the GDOÕs of research grants done in [year]? , The GDOÕs of research grants awarded in [year] are: [GDO-Number].,[year],,,
530,35,D2 , Is GDO Number [GDO-Number] from [year]? , [yes/no] [GDO-Number] [was/was not] from [year].,[GDO-Number],[year],,
531,36,D2 , Was [teacher] involved with GDO Number [GDO-Number] in [year]? , [yes/no] [teacher] [was/was not] involved in [GDO-Number] in [year].,[teacher],[GDO-Number],[year],
532,37,D2 , WhatÕs the average research grant size in [year]? , The average research grant size was [average grant size] in [year].,[year],,,
533,38,D2 , What is the largest research funding proposal in [year]? , The largest research funding proposal in [year] was [num].,[year],,,
534,39,D2 , What was the smallest research funding proposal in [year]? , The smallest research funding proposal in [year] was [num].,[year],,,
535,40,D2 , What was the largest funding grant awarded in [year]? , The largest research funding proposal in [year] was [num].,[year],,,
536,41,D2 , What was the smallest funding grant awarded in [year]? , The smallest research funding proposal in [year] was [num].,[year],,,
537,42,D2 , Which professor had the most proposals in [year]? , [teacher] had the most proposals in [year].,[year],,,
538,43,D2 , Who had the most proposals in [year]? , [teacher] had the most proposals in [year]. ,[year],,,
539,44,D2 , How many proposals has [teacher] written at Cal Poly? , [teacher] was written [num] proposals at Cal Poly.,[teacher],,,
540,45,D2 , Does [teacher] have a website? , [yes/ no] [teacher] [does/ does not] have a website.,[teacher],,,
541,46,D2 , What is [teacher]Õs website? , [website] is [teacher]Õs website.,[teacher],,,
542,47,D2 , Where can I learn more about [teacher]? , [website] is [teacher]Õs website.,[teacher],,,
543,48,D2 , Does [teacher] Êhave a Cal Poly website? ," [yes/no], [teacher] [has/ doesnÕt have] a Cal Poly website.",[teacher],,,
544,49,D2 , Does [teacher] Êhave more than [num] website listed? ," [yes/no], [teacher] [has/doesnÕt have] more than [num] websites listed.",[teacher],[num],,
545,50,D2 , What classes does [teacher] teach? , [teacher] teaches the following classes: [classes].,[teacher],,,
546,51,D2 , Does [teacher] teach [class name]? ," [yes/no], [teacher] [does/ does not] teach [class name].",[teacher],[class name],,
547,52,D2 , Is [teacher] teaching [class name] this quarter? ," [yes/no], [teacher] [is/ is not] teaching [class. name] ",[teacher],[class name],,
548,53,D2 , What time is [class name] taught by [teacher]? , [class name] is taught from [time].,[class name],[teacher],,
549,54,D2 , Does [teacher] teach a class on [day of week]? ," [yes/ no], [teacher] [does/ does not] teach a class on [day of week].",[teacher],[day of week],,
550,55,D2 , Is [day of week] a class day for [teacher]? ," [yes/ no], [day of week] [is/ is not] a class day for [teacher].",[day of week],[teacher],,
551,56,D2 , What time does [teacher] teach on [day of week]? , [teacher] teacher from [time] on [day of the week].,[teacher],[day of week],,
552,57,D2 , What time does [teacher] teach [class name]? , [teacher] teaches [class name] from [time].,[teacher],[class name],,
553,58,D2 , Is [teacher] currently teaching [class name] ? ," [yes/ no], [teacher] [is/ is not] currently teaching [class name].",[teacher],[class name],,
554,59,D2 , How many sections of [class name] does [teacher] teach? , [teacher] is teaching [num_sections] of [class name].,[class name],[teacher],,
555,60,D2 , Has [teacher] taught [class name] before? ," [yes/ no], [teacher] [has/hasnÕt] taught [class name] before.",[teacher],[class name],,
556,61,D2 , Will [teacher] teach [class name] in the future? ," [yes/ no], [teacher] [will/ will not] teach [class name].",[teacher],[class name],,
557,62,D2 , Is there a syllabus for [teacher]Õs [class name]? , [yes/no] there [is/ isnÕt] a syllabus for [teacher]Õs [class name].,[teacher],[class name],,
558,63,D2 , What room is [teacher]Õs [class name] in? , [teacher]Õs [class name] is in [room].,[teacher],[class name],,
559,64,D2 , Does [teacher] teach any classes in [building name]? ," [yes/ no], [teacher] [does/ doesnÕt] have a class in [building name].",[teacher],[building name],,
560,65,D2 , What buildings does [teacher] teach in? , [teacher] teaches in [building list].,[teacher],,,
561,66,D2 , What teachers teach a class in [building name]? , [teacher list] teach in [building name].,[building name],,,
562,67,D2 , Which classes are taught in [building name]? , [class list] are taught in [building name].,[building name],,,
563,68,D2 , Is [classname] taught in [building name]? ," [yes/no], [class name] [is/isnÕt] taught in [building name].",[classname],[building name],,
564,69,D2 , How many students does [teacher] currently teach between all their classes? , [teacher] teaches [num students] in all their classes. ,[teacher],,,
565,70,D2 , Does [building name] have any [class name] classes in it? , [yes/no] [building name] [has/does not have] [class name] in it.,[building name],[class name],,
566,71,D2 , What time are all [teacher]Õs classes taught? , [teacher] teaches at [class times].,[teacher],,,
567,72,D2 , What classes are [teacher] teaching next quarter? , [teacher] is teaching [class list] next quarter.,[teacher],,,
568,73,D2 , When is [teacher]Õs office hours? , [teacher]Õs office hours are [days: times].,[teacher],,,
569,74,D2 , Does [teacher] have office hours on [day]? , [yes/no] [teacher]Õs office hours are [day: time].,[teacher],[day],,
570,75,D2 , Does [teacher] have office hours right now? , [yes/no] [teacher]Õs office hours are [day: time].,[teacher],,,
571,76,D2 , Does [teacher] have office hours later today? , [yes/no] [teacher]Õs office hours are [day: time].,[teacher],,,
572,77,D2 , Does [teacher] have office hours tomorrow? , [yes/no] [teacher]Õs office hours are [day: time].,[teacher],,,
573,78,D2 , Where is [teacher]Õs office? , [teacher] has office hours in [office location],[teacher],,,
574,79,D2 , Do any teachers have office hours in [building name]? , [yes/no] [teacher]Õs office hours are in [office location],[building name],,,
575,80,D2 , Does [teacher] have office hours in [building name]? , [yes/no] [teacher]Õs office hours are in [office location],[teacher],[building name],,
576,81,D2 , ÊHow many office hours does [teacher] have this week? , [teacher] has [number of office hours] office hours.,[teacher],,,
577,82,D2 , What is [teacher]Õs email? , [teachers]Õs email is [email].,[teacher],,,
578,83,D2 , How can I email [teacher]? , [teachers]Õs email is [email].,[teacher],,,
579,84,D2 , What is the email of [teacher]? , [teachers]Õs email is [email].,[teacher],,,
580,85,D2 , Is [email-address] the email of [teacher]? ," [yes/no], [teachers]Õs email is [email].",[email-address],[teacher],,
581,86,D2 , Is [email-address] [teacher]Õs email address? ," [yes/no], [teachers]Õs email is [email].",[email-address],[teacher],,
582,87,D2 , Is [teacher]Õs email listed? , [yes/no].,[teacher],,,
583,88,D2 , What is [teacher]Õs average PolyRating? , [teacher]Õs PolyRating is [PolyRating].,[teacher],,,
584,89,D2 , What classes does [teacher] have PolyRatings for? , [teacher] has PolyRatings for [classes].,[teacher],,,
585,90,D2 , How many PolyRatings does [teacher] have? , [teacher] has [number of PolyRatings] PolyRatings.,[teacher],,,
586,91,D2 , Is [teacher]Õs PolyRating above [number]? ," [yes/no], [teacher]Õs Polyrating is above [number].",[teacher],[number],,
587,92,D2 , Is [teacher] reviewed on PolyRatings? ," [yes/no], [teacher] [is/isnÕt] reviewed on PolyRatings.",[teacher],,,
588,93,D2 , Does [teacher] have a PolyRating? ," [yes/no], [teacher] [does/doesnÕt] have a PolyRating.",[teacher],,,
589,94,D2 , Does [teacher] have a PolyRating for [class name]? ," [yes/no], [teacher] [does/doesnÕt] have a PolyRating for [class name].",[teacher],[class name],,
590,95,D2 , How many PolyRatings does [teacher] have for [class name]? , [teacher] has [number of PolyRatings] for [class].,[teacher],[class name],,
591,96,D2 , When is the most recent PolyRating for [teacher]? , The most recent PolyRating for [teacher] is: [review].,[teacher],,,
592,97,D2 , When is the most recent PolyRating for [teacher]Õs [class name]? , The most recent PolyRating for [teacher] is: [review].,[teacher],[class name],,
593,98,D2 , What is the sentiment for [class] taught by [teacher]? , The sentiment of [class] by [teacher] is [sentiment].,[class],[teacher],,
594,99,D2 , Which CS professor has the highest PolyRating? , [teacher] has the highest PolyRating.,,,,
595,100,D2 , Which CS professors have PolyRatings higher than [rating threshold]? , [teacher] Ê[has/have] PolyRatings higher than [rating threshold].,[rating threshold],,,
596,101,D2 , What level of professor is [teacher]? , [teacher] is a [level].,[teacher],,,
597,102,D2 , Is [teacher] a/an [level]? ," [yes/no], [teacher] [is/isnÕt] a [level].",[teacher],[level],,
598,103,D2 , List all [level of teacher] level professors. , [teacher] Ê[is/are] [level].,[level of teacher],,,
599,104,D2 , Is Cal Poly hiring for CS right now? ," [yes/no], Cal Poly [is/isnÕt] hiring for CS right now.",,,,
600,105,D2 , Who is the department chair? , [teacher] is the department chair.,,,,
601,106,D2 , How many professors are there at Cal Poly? , There are [number of teachers] at Cal Poly.,,,,
602,107,D2 , Is [teacher] a professor at Cal Poly? ," [yes/no], [teacher] [is/isnÕt] a professor at Cal Poly.",[teacher],,,
603,108,D2 , What is professor [last name of professor]Õs first name? , [teacher]Õs first name is [first name],[last name of professor],,,
604,109,D2 , Does [teacher] currently teach at Cal Poly? ," [yes/no], [teacher] [does/doesnÕt] currently teach at Cal Poly.",[teacher],,,
605,110,D2 , What is [teacher]Õs phone number? , [teacher]Õs phone number is [phone number].,[teacher],,,
606,111,D2 , What is the phone number for [teacher]? , [teacher]Õs phone number is [phone number].,[teacher],,,
607,112,D2 , How many phone numbers are listed for [teacher]? , [teacher] has [num] phone numbers.,[teacher],,,
608,113,D2 , Does [teacher] have more than [num] phone numbers listed? , [yes/no] [teacher] [does/does not] have more than [num] phone numbers listed.,[teacher],[num],,
609,114,D2 , Does [teacher] have a phone number listed? ," [yes/no], [teacher] [does/doesnÕt] have a phone number listed.",[teacher],,,
610,115,D2 , Is there a phone number listed for [teacher]? ," [yes/no], there [is/isnÕt] a phone number listed for [teacher].",[teacher],,,
611,116,D2 , How many [category] are there for the CS department? , There are [number of teachers] at Cal Poly.,[category],,,
612,117,D2 , Are there [category] in the CS department? ," [yes/no], there are [category] in the CS department.",[category],,,
613,118,D2 , Who are the [category] for the CS department? , [teacher] Ê...are the [category].,[category],,,
614,119,D2 , Is [teacher] a/an [category]? ," [yes/no], [teacher] [is/isnÕt] a [category].",[teacher],[category],,
615,0,F1,How many GEs do I have to take in [major]?,You need to take [major-ge-units] units to graduate in [major].,[major],,,
616,1,F1,How many general educations do I have to take in [major]?,You need to take [major-ge-units] units to graduate in [major].,[major],,,
617,2,F1,How many general education classes do I have to take in [major]?,You need to take [major-ge-units] units to graduate in [major].,[major],,,
618,3,F1,What GEs satisfy area [ge-area]?,GE area [ge-area] includes the following courses: [ge-area-course-names].,[ge-area],,,
619,4,F1,What general educations satisfy area [ge-area]?,GE area [ge-area] includes the following courses: [ge-area-course-names].,[ge-area],,,
620,5,F1,What courses are included in GE area [ge-area]?,GE area [ge-area] includes the following courses: [ge-area-course-names].,[ge-area],,,
621,6,F1,What courses are included in general education area [ge-area]?,GE area [ge-area] includes the following courses: [ge-area-course-names].,[ge-area],,,
622,7,F1,What is the subject of GE area [ge-area]?,The subject of GE area [ge-area] is [ge-area-subject].,[ge-area],,,
623,8,F1,What is the subject of general education area [ge-area]?,The subject of GE area [ge-area] is [ge-area-subject].,[ge-area],,,
624,9,F1,What are the general education areas?,The general education areas are [ge-area-list].,,,,
625,10,F1,What are the GE requirements?,The GE requirements are the following: [ge-requirements].,,,,
626,11,F1,What are the general education requirements?,The GE requirements are the following: [ge-requirements].,,,,
627,12,F1,What GE areas are considered [division-level]?,The following GE areas are considered [division-level]: [division-ge-area-list].,[division-level],,,
628,13,F1,What general education areas are considered [division-level]?,The following GE areas are considered [division-level]: [division-ge-area-list].,[division-level],,,
629,14,F1,How many units of electives do I need for [major]?,You need [ge-elective-units-major] of electives to graduate in [major].,[major],,,
630,15,F1,What is the total number of units of electives needed to graduate in [major]?,You need [ge-elective-units-major] of electives to graduate in [major].,[major],,,
631,16,F1,How many approved electives do I have to take for the [minor]?,You have to take [minor-approved-electives-units] approved electives for the [minor].,[minor],,,
632,17,F1,What are the approved electives I can take for a [minor]?,The approved electives for a [minor] are [approved-electives-minor],[minor],,,
633,18,F1,What courses may I choose that satisfy the [elective-type] requirement?,"In order to satisfy the [elective-type] requirement, you may choose from the following courses: [elective-type-course-names].",[elective-type],,,
634,19,F1,What are the courses that help me satisfy the [elective-type] requirements?,"In order to satisfy the [elective-type] requirement, you may choose from the following courses: [elective-type-course-names].",[elective-type],,,
635,20,F1,How many units of [elective-type] do I have to take?,You need to take [elective-type-units] in [elective-type].,[elective-type],,,
636,21,F1,What courses can I take instead of [course] for [major]?,You could take any of [major-course-alternatives-list] instead of [course] for [major].,[course],[major],,
637,22,F1,Are there any alternatives to [course] for [major]?,You could take any of [major-course-alternatives-list] instead of [course] for [major].,[course],[major],,
638,23,F1,What CSSE courses are offered in [season]?,The CSSE courses typically offered in [season] are [season-course-names].,[season],,,
639,24,F1,What computer science and software engineering courses are offered in [season]?,The CSSE courses typically offered in [season] are [season-course-names].,[season],,,
640,25,F1,How many CSSE courses will be available during the [season] quarter?,There are [number-season-courses] CSSE courses typically offered during [season] quarter.,[season],,,
641,26,F1,How many computer science and software engineering courses will be available during the [season] quarter?,There are [number-season-courses] CSSE courses typically offered during [season] quarter.,[season],,,
642,27,F1,What are the courses that are in both CSC and SE curriculum?,The courses that are common for both the departments are [overlapping-courses-list].,,,,
643,28,F1,What are the courses that are in both Computer Science and SE curriculum?,The courses that are common for both the departments are [overlapping-courses-list].,,,,
644,29,F1,What are the courses that are in both Computer Science and Software Engineering curriculum?,The courses that are common for both the departments are [overlapping-courses-list].,,,,
645,30,F1,What courses are cross listed as CSC and SE?,The courses that are common for both the departments are [overlapping-courses-list].,,,,
646,31,F1,What courses are cross listed as Computer Science and SE?,The courses that are common for both the departments are [overlapping-courses-list].,,,,
647,32,F1,What courses are cross listed as Computer Science and Software Engineering?,The courses that are common for both the departments are [overlapping-courses-list].,,,,
648,33,F1,How many courses are present in both CSC and SE?,The number of courses that are common in both the departments are [overlapping-courses-list].,,,,
649,34,F1,How many courses are present in both Computer Science and SE?,The number of courses that are common in both the departments are [overlapping-courses-list].,,,,
650,35,F1,How many courses are present in both Computer Science and Software Engineering?,The number of courses that are common in both the departments are [overlapping-courses-list].,,,,
651,36,F1,What are the graduate level courses?,The graduate level courses in CSC are [graduate-courses-list].,,,,
652,37,F1,What are all the courses in [major] that are of [course-units] units?,The following courses count for [course-units] units: [major-course-names-of-units].,[major],[course-units],,
653,38,F1,What is the CSSE mission statement?,The CSSE mission statement is [csse-mission-statement].,,,,
654,39,F1,What is the computer science and software engineering mission statement?,The CSSE mission statement is [csse-mission-statement].,,,,
655,40,F1,What are the program educational objectives for the [major]?,The program educational objectives for the [major] are [major-peos].,[major],,,
656,41,F1,What are the learning outcomes of [major]?,The learning outcomes for the [major] are [major-learning-outcomes-list].,[major],,,
657,42,F1,What are the learning outcomes of the GE program?,The GE programâs learning outcomes are the following: [ge-learning-outcomes].,,,,
658,43,F1,What are the learning outcomes of the general education program?,The GE programâs learning outcomes are the following: [ge-learning-outcomes].,,,,
659,44,F1,What are the general education learning outcomes?,The GE programâs learning outcomes are the following: [ge-learning-outcomes].,,,,
660,45,F1,What are the learning outcomes for [major]?,The learning outcomes for the [major] are [major-learning-outcomes-list].,[major],,,
661,46,F1,What are the learning objectives for the MS in Computer Science?,The learning objectives for the MS in Computer Science are [ms-learning-objectives].,,,,
662,47,F1,What are the learning objectives for the Masters Degree in Computer Science?,The learning objectives for the MS in Computer Science are [ms-learning-objectives].,,,,
663,48,F1,What are the [major] courses?,The [major] courses are [major-courses].,[major],,,
664,49,F1,What are the courses required for [major]?,The [major] courses are [major-courses].,[major],,,
665,50,F1,How many courses do we have in [major]?,The number of courses in [major] are: [total-num-of-courses].,[major],,,
666,51,F1,What courses are important to transfer into Computer Science?,"In order to maximize your chance of election, you should take the following courses: [transfer-courses].",,,,
667,52,F1,What courses do I need to take to transfer into Computer Science?,"In order to maximize your chance of election, you should take the following courses: [transfer-courses].",,,,
668,53,F1,What are some [major] resources that are available?,These are some that are available to you: [major-resources].,[major],,,
669,54,F1,What resources are there for [major]?,These are some resources that are available to you: [major-resources].,[major],,,
670,55,F1,Where can I get advising for a [major]?,These are some resources that are available to you: [major-resources].,[major],,,
671,56,F1,What are the course numbers that are considered independent study in [major]?,The courses that are considered independent study are: [independent-study-courses].,[major],,,
672,57,F1,What are some independent study course that I have available?,The courses that are considered independent study are: [independent-study-courses].,,,,
673,58,F1,What is the minimum number of upper division units needed to graduate with a BS in Computer Science?,The minimum number of upper division units need to graduate with a BS in Computer Science are [minimum-upper-division-units].,,,,
674,59,F1,What is the minimum number of upper division units needed to graduate with a Bachelors Degree in Computer Science?,The minimum number of upper division units need to graduate with a BS in Computer Science are [minimum-upper-division-units].,,,,
675,60,F1,How many [division-level] units are required for a [minor]?,The [minor] requires [minor-division-units] [division-level] units.,[division-level],[minor],,
676,61,F1,How many [division-level] units does [minor] require?,The [minor] requires [minor-division-units] [division-level] units.,[division-level],[minor],,
677,62,F1,How many units does the [minor] require?,The [minor] requires [minor-required-units] required units and [minor-approved-elective-units] approved elective units.,[minor],,,
678,63,F1,How many units do I need for a [minor]?,The [minor] requires [minor-required-units] required units and [minor-approved-elective-units] approved elective units.,[minor],,,
679,64,F1,What are the general requirements for a minor at Cal Poly?,The general requirements for a minor at Cal Poly are [minor-general-requirements]. ,,,,
680,65,F1,What are the steps to apply for the [minor]?,You need to take [minor-steps] to attain a  [minor].,[minor],,,
681,66,F1,How do I apply for a [minor]?,You need to take [minor-steps] to attain a [minor].,[minor],,,
682,67,F1,What are the required courses for the [minor]?,The required courses for the [minor] are: [required-minor-courses].,[minor],,,
683,68,F1,What is the minimum CGPA required to apply for minor in Computer Science?,You have to maintain a CGPA of [minimum-gpa-minor] or higher to apply for a minor in Computer Science. ,,,,
684,69,F1,What is the minimum Cumulative Grade Point Average required to apply for minor in Computer Science?,You have to maintain a CGPA of [minimum-gpa-minor] or higher to apply for a minor in Computer Science. ,,,,
685,70,F1,What are the prerequisites for the [minor]?,You need to meet the following requirements to apply for the [minor]: [minor-prerequisites].,[minor],,,
686,71,F1,Where can I get the application for the [minor]?,You can access the application for the [minor] in the following link: [minor-application-link].,[minor],,,
687,72,F1,Where can I get the flowchart for the [minor]?,You can access the flowchart for CSSE students pursuing a [minor] in the following link: [minor-flowchart-link].,[minor],,,
688,73,F1,What courses should I take each quarter for the [minor]?,"In order to determine what courses you should take each quarter in order to pursue the [minor], you should visit the minorâs flowchart. You can access the flowchart for CSSE students pursuing a [minor] in the following link: [minor-flowchart-link].",[minor],,,
689,74,F1,How many units do I need to graduate?,You need [graduation-units] total units to graduate.,,,,
690,75,F1,What are the mandatory classes that I have to take in order to graduate?,You need to take [all-required-course-list] to graduate.,,,,
691,76,F1,What classes do I have to take in order to graduate?,You need to take [all-required-course-list] to graduate.,,,,
692,77,F1,Can I double count the [elective-name] elective?,[elective-is-double-countable].,[elective-name],,,
693,78,F1,What classes can I double count?,"The classes: [double-countable-classes], may be double counted.",,,,
694,79,F1,How many classes do I have to take for [major]?,You need to take [total-units] units worth of classes for [major]. The total number of classes may vary.,[major],,,
695,80,F1,What is the total number of classes needed to graduate in [major]?,You need to take [total-units] units worth of classes for [major]. The total number of classes may vary.,[major],,,
696,81,F1,What concentrations are available?,The following concentrations are available [concentration-list].,,,,
697,82,F1,How do I declare [concentration] concentration?,You need to complete the following steps [concentration-type-steps],[concentration],,,
698,83,F1,What are the required courses for the [concentration]?,The required courses for the [concentration] are [concentration-required-courses].,[concentration],,,
699,84,F1,What GPA do I need to graduate?,You need a GPA of at least [minimum-grad-gpa] to graduate as a CSSE major.,,,,
700,85,F1,What is the minimum GPA?,You need a GPA of at least [minimum-grad-gpa]  to graduate as a CSSE major.,,,,
701,86,F1,What GPA do I need to attain an honor?,The following Honors are available [honors-gpa-list].,,,,
702,87,F1,What honors are available?,The following Honors are available [honors-gpa-list].,,,,
703,88,F1,What GPA do I need to obtain [honor-name]?,The following Honors are available [honors-gpa-list].,[honor-name],,,
704,89,F1,What honor am I eligible for with a GPA of [gpa-number]?,The following Honors are available [honors-gpa-list].,[gpa-number],,,
705,90,F1,Can I take classes as credit/no credit?,You may not take any major classes as credit/no credit.,,,,
706,91,F1,Can I take classes as pass/no pass?,You may not take any major classes as credit/no credit.,,,,
707,92,F1,How many units do I need to take to be considered a [class-level]?,"In order to be considered a [class-level], you have to take [class-level-units].",[class-level],,,
708,93,F1,"If I have taken [num-units], what class level am I considered?","If you have taken [num-units], you are considered a [class-level] student.",[num-units],,,
709,94,F1,"If I have taken [num-units], what division level am I considered?","If you have taken [num-units], you would be considered a [division-level] student.",[num-units],,,
710,95,F1,How many units do I need to take to be considered [division-level]?,"In order for you to be considered [division-level], you must take [division-level-units].",[division-level],,,
711,96,F1,How many units do transfer applicants need prior to transfer as a CSSE major?,Transfer applicants need a minimum of [transfer-min-units] completed prior to transfer.,,,,
712,97,F1,How many units do transfer applicants need prior to transfer as a computer science and software engineering major?,Transfer applicants need a minimum of [transfer-min-units] completed prior to transfer.,,,,
713,98,F1,What courses articulate to apply as a CSSE transfer student?,The courses that articulate are [transfer-articulate-courses].,,,,
714,99,F1,What courses articulate to apply as a computer science and software engineering transfer student?,The courses that articulate are [transfer-articulate-courses].,,,,
715,100,F1,What are some general guidelines for a CSSE transfer student?,The general guidelines are [csse-transfer-guidelines].,,,,
716,101,F1,What are some general guidelines for a computer science and software engineering transfer student?,The general guidelines are [csse-transfer-guidelines].,,,,
717,102,F1,What is the minimum amount of transferable units required to transfer as a CSSSE major?,Transfer applicants need a minimum of [transfer-min-units] completed prior to transfer.,,,,
718,103,F1,What is the minimum amount of transferable units required to transfer as a CSSSoftware Engineering major?,Transfer applicants need a minimum of [transfer-min-units] completed prior to transfer.,,,,
719,104,F1,What courses are desired but not required if I want to transfer as a CSSE major?,If you want to transfer as a CSSE major the following classes are desired: [major-transfer-course-list],,,,
720,105,F1,What courses are desired but not required if I want to transfer as a computer science and software engineering major?,If you want to transfer as a CSSE major the following classes are desired: [major-transfer-course-list],,,,
721,106,F1,What courses are required If I want to transfer as a CSSE major?,If you want to transfer as a CSSE major you need the following course: [major-transfer-course-list],,,,
722,107,F1,What courses are required If I want to transfer as a computer science and software engineering major?,If you want to transfer as a CSSE major you need the following course: [major-transfer-course-list],,,,
723,108,F1,Where can I get more information on [subject]?,We donât have information about [subject] but please refer to [bot-name].,[subject],,,
724,109,F1,How can I contact the CSSE department?,You can contact the CSSE department at [department-contact-info].,,,,
725,110,F1,How can I contact the computer science and software engineering department?,You can contact the CSSE department at [department-contact-info].,,,,
726,111,F1,What is the phone number of the CSSE department?,[phone-number] is the CSSE phone number,,,,
727,112,F1,What is the phone number of the computer science and software engineering department?,[phone-number] is the CSSE phone number,,,,
728,113,F1,How can I contact the CSSE department?,[phone-number] is the CSSE phone number.,,,,
729,114,F1,How can I contact the computer science and software engineering department?,[phone-number] is the CSSE phone number.,,,,
730,115,F1,Who are the minor advisors for [minor]?,The minor advisors for [minor] are [minor-advisors]. ,[minor],,,
731,116,F1,Who can I contact to get more information about the [minor]?,You can contact [minor-advisors] to learn more about [minor].,[minor],,,
732,117,F1,Who can I contact if I have questions about [minor]?,"If you have questions about [minor], you may contact [contact-info].",[minor],,,
733,118,F1,Who will help me if I have doubts about [minor]?,"If you have questions about [minor], you may contact [contact-info].",[minor],,,
734,119,F1,What steps do I need to follow to request a change of major?,"In order to request a change in major, follow these steps: [change-major-steps].",,,,
735,120,F1,How can I request a change of major?,"In order to request a change in major, follow these steps: [change-major-steps].",,,,
736,121,F1,What are the basic criteria when requesting a change of major?,The basic criteria to request a change of major are [change-major-criteria] .,,,,
737,122,F1,What conditions are part of the change of major agreement?,The conditions present in the ICMA (Individualized Change of Major Agreement) contract are the following: [icma-conditions].,,,,
738,123,F1,What is the minimum GPA to transfer into CSSE?,[minimum-gpa-change-major] is the minimum GPA that is required to change into CSSE. ,,,,
739,124,F1,What is the minimum GPA to transfer into computer science and software engineering?,[minimum-gpa-change-major] is the minimum GPA that is required to change into CSSE. ,,,,
740,125,F1,"If my GPA is [gpa], can I transfer into CSSE?",[minimum-gpa-change-major] is the minimum GPA that is required to change into CSSE. ,[gpa],,,
741,126,F1,"If my GPA is [gpa], can I transfer into computer science and software engineering?",[minimum-gpa-change-major] is the minimum GPA that is required to change into CSSE. ,[gpa],,,
742,127,F1,What are the minimum requirements if I want to change into CSSE?,[minimum-gpa-change-major] is the minimum GPA that is required to change into CSSE. ,,,,
743,128,F1,What are the minimum requirements if I want to change into computer science and software engineering?,[minimum-gpa-change-major] is the minimum GPA that is required to change into CSSE. ,,,,
744,129,F1,What is the flowchart for [major] in [year-range]?,"In order to view the [year-range] flowchart for [major], visit the following link: [flowchart-link].",[major],[year-range],,
745,130,F1,"According to the [year-range] flowchart, when should I take [course] for [major]?","In order to view the [year-range] flowchart for [major], visit the following link: [flowchart-link].",[year-range],[course],[major],
746,131,F1,Where can I get the flowchart for [major]?," In order to view the [year-range] flowchart for [major], visit the following link: [flowchart-link].",[major],,,
747,132,F1,Who is eligible for the Blended BS + MS Computer Science Program?,You must be one of the following [blended-requirements].,,,,
748,133,F1,Who is eligible for the Blended BS + Masters Degree Computer Science Program?,You must be one of the following [blended-requirements].,,,,
749,134,F1,Who is eligible for the Blended Bachelors Degree + Masters Degree Computer Science Program?,You must be one of the following [blended-requirements].,,,,
750,135,F1,What do I need to get into the Blended BS + MS Computer Science Program?,You must be one of the following [blended-requirements].,,,,
751,136,F1,What do I need to get into the Blended BS + Masters Degree Computer Science Program?,You must be one of the following [blended-requirements].,,,,
752,137,F1,What do I need to get into the Blended Bachelors Degree + Masters Degree Computer Science Program?,You must be one of the following [blended-requirements].,,,,
753,138,F1,What is the Blended BS + MS Computer Science Program?,The Blended BS + MS Computer Science Program is [blended-description].,,,,
